match_id,match_label,team,formation
3857256,Serbia vs Switzerland,Serbia,3412
3857256,Serbia vs Switzerland,Switzerland,4231
3869151,Argentina vs Australia,Argentina,433
3869151,Argentina vs Australia,Australia,442
3857257,Australia vs Denmark,Australia,442
3857257,Australia vs Denmark,Denmark,433
3857258,Brazil vs Serbia,Brazil,4231
3857258,Brazil vs Serbia,Serbia,3421
3857288,Tunisia vs Australia,Tunisia,3421
3857288,Tunisia vs Australia,Australia,442
3857267,Ecuador vs Senegal,Ecuador,433
3857267,Ecuador vs Senegal,Senegal,4231
3869321,Netherlands vs Argentina,Netherlands,3412
3869321,Netherlands vs Argentina,Argentina,352
3857287,Uruguay vs South Korea,Uruguay,433
3857287,Uruguay vs South Korea,South Korea,4231
3869486,Morocco vs Portugal,Morocco,4141
3869486,Morocco vs Portugal,Portugal,433
3869685,Argentina vs France,Argentina,433
3869685,Argentina vs France,France,4231
3857260,Saudi Arabia vs Mexico,Saudi Arabia,442
3857260,Saudi Arabia vs Mexico,Mexico,4231
3857264,Poland vs Argentina,Poland,442
3857264,Poland vs Argentina,Argentina,433
3857266,France vs Denmark,France,4231
3857266,France vs Denmark,Denmark,343
3857289,Argentina vs Mexico,Argentina,442
3857289,Argentina vs Mexico,Mexico,352
3857269,Brazil vs Switzerland,Brazil,433
3857269,Brazil vs Switzerland,Switzerland,4231
3857294,Netherlands vs Qatar,Netherlands,3412
3857294,Netherlands vs Qatar,Qatar,352
3869254,Portugal vs Switzerland,Portugal,433
3869254,Portugal vs Switzerland,Switzerland,352
3869118,England vs Senegal,England,433
3869118,England vs Senegal,Senegal,4231
3869684,Croatia vs Morocco,Croatia,4231
3869684,Croatia vs Morocco,Morocco,433
3869519,Argentina vs Croatia,Argentina,442
3869519,Argentina vs Croatia,Croatia,433
3869354,England vs France,England,433
3869354,England vs France,France,4231
3869552,France vs Morocco,France,4231
3869552,France vs Morocco,Morocco,343
3869420,Croatia vs Brazil,Croatia,433
3869420,Croatia vs Brazil,Brazil,4411
3869220,Morocco vs Spain,Morocco,433
3869220,Morocco vs Spain,Spain,433
3869219,Japan vs Croatia,Japan,343
3869219,Japan vs Croatia,Croatia,433
3869253,Brazil vs South Korea,Brazil,4231
3869253,Brazil vs South Korea,South Korea,442
3869152,France vs Poland,France,4231
3869152,France vs Poland,Poland,4141
3869117,Netherlands vs United States,Netherlands,3412
3869117,Netherlands vs United States,United States,433
3857270,Portugal vs Uruguay,Portugal,41212
3857270,Portugal vs Uruguay,Uruguay,352
3857263,Spain vs Germany,Spain,433
3857263,Spain vs Germany,Germany,4231
3857259,Cameroon vs Serbia,Cameroon,433
3857259,Cameroon vs Serbia,Serbia,3421
3857295,Japan vs Costa Rica,Japan,442
3857295,Japan vs Costa Rica,Costa Rica,343
3857283,Belgium vs Morocco,Belgium,4231
3857283,Belgium vs Morocco,Morocco,433
3857284,Germany vs Japan,Germany,4231
3857284,Germany vs Japan,Japan,4231
3857282,United States vs Wales,United States,433
3857282,United States vs Wales,Wales,352
3857286,Qatar vs Ecuador,Qatar,352
3857286,Qatar vs Ecuador,Ecuador,442
3857301,Qatar vs Senegal,Qatar,352
3857301,Qatar vs Senegal,Senegal,4231
3857300,Argentina vs Saudi Arabia,Argentina,442
3857300,Argentina vs Saudi Arabia,Saudi Arabia,4141
3857299,South Korea vs Ghana,South Korea,4231
3857299,South Korea vs Ghana,Ghana,4231
3857298,Portugal vs Ghana,Portugal,433
3857298,Portugal vs Ghana,Ghana,352
3857297,Poland vs Saudi Arabia,Poland,442
3857297,Poland vs Saudi Arabia,Saudi Arabia,4231
3857296,Croatia vs Belgium,Croatia,433
3857296,Croatia vs Belgium,Belgium,4231
3857293,Ghana vs Uruguay,Ghana,4231
3857293,Ghana vs Uruguay,Uruguay,442
3857292,Costa Rica vs Germany,Costa Rica,343
3857292,Costa Rica vs Germany,Germany,4231
3857291,Spain vs Costa Rica,Spain,433
3857291,Spain vs Costa Rica,Costa Rica,442
3857290,Switzerland vs Cameroon,Switzerland,4231
3857290,Switzerland vs Cameroon,Cameroon,433
3857285,Senegal vs Netherlands,Senegal,4231
3857285,Senegal vs Netherlands,Netherlands,3412
3857281,Croatia vs Canada,Croatia,433
3857281,Croatia vs Canada,Canada,442
3857280,Cameroon vs Brazil,Cameroon,442
3857280,Cameroon vs Brazil,Brazil,4231
3857279,France vs Australia,France,4231
3857279,France vs Australia,Australia,4141
3857278,Iran vs United States,Iran,4411
3857278,Iran vs United States,United States,433
3857277,Morocco vs Croatia,Morocco,4141
3857277,Morocco vs Croatia,Croatia,433
3857276,Canada vs Morocco,Canada,4411
3857276,Canada vs Morocco,Morocco,433
3857275,Tunisia vs France,Tunisia,3421
3857275,Tunisia vs France,France,433
3857274,Netherlands vs Ecuador,Netherlands,3412
3857274,Netherlands vs Ecuador,Ecuador,3421
3857273,Wales vs Iran,Wales,352
3857273,Wales vs Iran,Iran,4411
3857272,England vs United States,England,4231
3857272,England vs United States,United States,442
3857271,England vs Iran,England,4231
3857271,England vs Iran,Iran,343
3857268,Belgium vs Canada,Belgium,3421
3857268,Belgium vs Canada,Canada,3421
3857265,Mexico vs Poland,Mexico,433
3857265,Mexico vs Poland,Poland,4141
3857262,South Korea vs Portugal,South Korea,433
3857262,South Korea vs Portugal,Portugal,433
3857261,Wales vs England,Wales,4231
3857261,Wales vs England,England,433
3857255,Japan vs Spain,Japan,343
3857255,Japan vs Spain,Spain,433
3857254,Denmark vs Tunisia,Denmark,352
3857254,Denmark vs Tunisia,Tunisia,343
