match_id,match_label,team,opponent,possession,formation,player,period,minute,second,shot_type,shot_context,is_penalty_shootout,is_standard_shot,shot_outcome,is_goal,shot_xg,play_pattern,passes_before_shot,pass_category,duration_seconds,players_involved,start_x,start_y,start_zone,shot_x,shot_y,entry_method,passes_to_entry,time_to_entry,fast_entry_before_shot
3857276,Canada vs Morocco,Canada,Morocco,6,4411,Mark Anthony Kaye,1,2,5,Open Play,Open play / other,False,False,Blocked,0,0.038882375,Regular Play,3,0-3,11.0,4,69.3,13.7,Mittelfeld,96.5,40.7,Kurzer Pass,2.0,3.0,True
3857276,Canada vs Morocco,Morocco,Canada,8,433,Hakim Ziyech,1,3,29,Open Play,Throw-in,False,True,Goal,1,0.024477394,From Throw In,1,0-3,46.0,7,87.0,4.7,Offensives Drittel,83.9,45.0,Bereits im offensiven Drittel,0.0,0.0,True
3857276,Canada vs Morocco,Morocco,Canada,16,433,Abdelhamid Sabiri,1,8,18,Free Kick,Free kick,False,True,Blocked,0,0.02207015,From Free Kick,0,0-3,0.0,1,86.8,38.4,Offensives Drittel,86.8,38.4,Bereits im offensiven Drittel,0.0,0.0,True
3857276,Canada vs Morocco,Morocco,Canada,17,433,Sofiane Boufal,1,9,9,Open Play,Corner,False,True,Wayward,0,0.06158555,From Corner,0,0-3,4.0,2,120.0,80.0,Offensives Drittel,107.0,48.3,Bereits im offensiven Drittel,0.0,0.0,True
3857276,Canada vs Morocco,Canada,Morocco,30,4411,Tajon Buchanan,1,14,7,Open Play,Open play / other,False,False,Off T,0,0.27914461,From Counter,4,4-6,12.0,4,16.1,69.7,Defensives Drittel,113.3,34.9,Carry,3.0,8.0,True
3857276,Canada vs Morocco,Morocco,Canada,31,433,Hakim Ziyech,1,15,6,Open Play,Open play / other,False,False,Off T,0,0.022624016,From Goal Kick,10,10+,31.0,9,7.0,44.1,Defensives Drittel,97.5,54.0,Carry,10.0,25.0,False
3857276,Canada vs Morocco,Morocco,Canada,40,433,Youssef En-Nesyri,1,22,36,Open Play,Throw-in,False,True,Goal,1,0.10405799,From Throw In,6,4-6,24.0,5,63.3,80.0,Mittelfeld,107.6,53.2,Langer Pass,6.0,19.0,False
3857276,Canada vs Morocco,Morocco,Canada,57,433,Abdelhamid Sabiri,1,32,45,Open Play,Open play / other,False,False,Blocked,0,0.09711841,Regular Play,10,10+,29.0,7,27.6,29.0,Defensives Drittel,107.9,34.2,Carry,7.0,21.0,False
3857276,Canada vs Morocco,Morocco,Canada,80,433,Youssef En-Nesyri,1,47,18,Open Play,Free kick,False,True,Wayward,0,0.094470315,From Free Kick,0,0-3,3.0,4,80.9,75.7,Offensives Drittel,106.8,46.7,Bereits im offensiven Drittel,0.0,0.0,True
3857276,Canada vs Morocco,Canada,Morocco,109,4411,Alphonso Davies,2,57,6,Open Play,Open play / other,False,False,Off T,0,0.051903803,Regular Play,3,0-3,11.0,5,39.8,33.8,Defensives Drittel,105.1,41.2,Langer Pass,2.0,4.0,True
