build_up_id,match_id,match_label,team,goal_player,goal_minute,pass_order,player,minute,second,x,y,end_x,end_y,pass_length
3857256_1,3857256,Serbia vs Switzerland,Switzerland,Xherdan Shaqiri,19,1,Silvan Widmer,18,53,29.7,74.2,22.9,29.1,45.609757727924844
3857256_1,3857256,Serbia vs Switzerland,Switzerland,Xherdan Shaqiri,19,2,Manuel Obafemi Akanji,18,55,23.1,29.7,46.3,13.4,28.353659375819547
3857256_1,3857256,Serbia vs Switzerland,Switzerland,Xherdan Shaqiri,19,3,Ricardo Iván Rodríguez Araya,18,59,46.3,14.0,66.2,5.6,21.60023148024114
3857256_1,3857256,Serbia vs Switzerland,Switzerland,Xherdan Shaqiri,19,4,Ruben Vargas,19,1,66.2,5.6,89.1,11.8,23.724459951703846
3857256_1,3857256,Serbia vs Switzerland,Switzerland,Xherdan Shaqiri,19,5,Djibril Sow,19,10,107.0,44.5,108.0,52.0,7.566372975210778
3857256_2,3857256,Serbia vs Switzerland,Serbia,Aleksandar Mitrović,25,1,Filip Kostić,25,49,57.3,13.5,55.9,17.3,4.049691346263318
3857256_2,3857256,Serbia vs Switzerland,Serbia,Aleksandar Mitrović,25,2,Dušan Tadić,25,55,100.4,14.9,108.3,38.6,24.981993515330196
3857256_4,3857256,Serbia vs Switzerland,Switzerland,Breel-Donald Embolo,43,1,Gregor Kobel,43,22,6.4,53.0,22.9,35.1,24.34460925954656
3857256_4,3857256,Serbia vs Switzerland,Switzerland,Breel-Donald Embolo,43,2,Granit Xhaka,43,30,48.4,32.3,52.8,47.5,15.824032355881988
3857256_4,3857256,Serbia vs Switzerland,Switzerland,Breel-Donald Embolo,43,3,Xherdan Shaqiri,43,36,83.9,52.6,99.3,48.5,15.936436239009014
3857256_4,3857256,Serbia vs Switzerland,Switzerland,Breel-Donald Embolo,43,4,Djibril Sow,43,38,100.1,49.4,109.0,59.8,13.688316185711084
3857256_4,3857256,Serbia vs Switzerland,Switzerland,Breel-Donald Embolo,43,5,Silvan Widmer,43,40,109.0,59.8,114.4,36.9,23.528068344001383
