team,shots,shot_possessions,goals,stage,stage_score,conversion_rate,goals_per_shot_possession
Argentina,110,83,23,Final,6,0.20909090909090908,0.27710843373493976
Australia,26,24,3,Round of 16,2,0.11538461538461539,0.125
Belgium,35,30,1,Group Stage,1,0.02857142857142857,0.03333333333333333
Brazil,99,78,10,Quarter-finals,3,0.10101010101010101,0.1282051282051282
Cameroon,28,24,4,Group Stage,1,0.14285714285714285,0.16666666666666666
Canada,35,30,1,Group Stage,1,0.02857142857142857,0.03333333333333333
Costa Rica,11,9,2,Group Stage,1,0.18181818181818182,0.2222222222222222
Croatia,87,66,15,3rd Place Final,5,0.1724137931034483,0.22727272727272727
Denmark,35,26,1,Group Stage,1,0.02857142857142857,0.038461538461538464
Ecuador,30,23,4,Group Stage,1,0.13333333333333333,0.17391304347826086
England,63,53,13,Quarter-finals,3,0.20634920634920634,0.24528301886792453
France,106,81,18,Final,6,0.16981132075471697,0.2222222222222222
Germany,68,51,6,Group Stage,1,0.08823529411764706,0.11764705882352941
Ghana,25,23,5,Group Stage,1,0.2,0.21739130434782608
Iran,33,25,4,Group Stage,1,0.12121212121212122,0.16
Japan,48,37,6,Round of 16,2,0.125,0.16216216216216217
Mexico,41,35,2,Group Stage,1,0.04878048780487805,0.05714285714285714
Morocco,66,53,9,3rd Place Final,5,0.13636363636363635,0.16981132075471697
Netherlands,48,40,13,Quarter-finals,3,0.2708333333333333,0.325
Poland,31,27,3,Round of 16,2,0.0967741935483871,0.1111111111111111
Portugal,66,52,12,Quarter-finals,3,0.18181818181818182,0.23076923076923078
Qatar,20,19,1,Group Stage,1,0.05,0.05263157894736842
Saudi Arabia,30,25,3,Group Stage,1,0.1,0.12
Senegal,50,39,5,Round of 16,2,0.1,0.1282051282051282
Serbia,32,30,5,Group Stage,1,0.15625,0.16666666666666666
South Korea,48,41,5,Round of 16,2,0.10416666666666667,0.12195121951219512
Spain,51,45,9,Round of 16,2,0.17647058823529413,0.2
Switzerland,37,32,5,Round of 16,2,0.13513513513513514,0.15625
Tunisia,32,28,1,Group Stage,1,0.03125,0.03571428571428571
United States,46,40,3,Round of 16,2,0.06521739130434782,0.075
Uruguay,33,30,2,Group Stage,1,0.06060606060606061,0.06666666666666667
Wales,24,21,1,Group Stage,1,0.041666666666666664,0.047619047619047616
