build_up_id,goal_id,match_id,match_name,team,event_order,event_index,event_id,event_type,player,recipient,pass_recipient,minute,second,timestamp_label,x,y,end_x,end_y,pass_outcome,outcome,is_completed_pass,is_shot,is_assist,is_goal,competition_label,competition_value
3939969_1,3939969_1,3939969,Argentina vs Canada,Argentina,1,2213,b40ed688-fa25-42f9-aaaf-4d486e679255,Pass,Nahuel Molina Lucero,Lionel Andrés Messi Cuccittini,Lionel Andrés Messi Cuccittini,47,55,47:55,85.6,80.0,89.7,68.4,Complete,Complete,True,False,False,False,Copa America - 2024,223|282|ALL
3939969_1,3939969_1,3939969,Argentina vs Canada,Argentina,2,2216,aa6b61b3-a968-4cdd-9d15-1efa383605b0,Pass,Lionel Andrés Messi Cuccittini,Nahuel Molina Lucero,Nahuel Molina Lucero,47,56,47:56,90.9,68.4,92.7,77.1,Complete,Complete,True,False,False,False,Copa America - 2024,223|282|ALL
3939969_1,3939969_1,3939969,Argentina vs Canada,Argentina,3,2218,b4cacbc3-d231-4975-8bce-f0b3127023e6,Pass,Nahuel Molina Lucero,Rodrigo Javier De Paul,Rodrigo Javier De Paul,47,58,47:58,92.7,77.1,81.9,71.9,Complete,Complete,True,False,False,False,Copa America - 2024,223|282|ALL
3939969_1,3939969_1,3939969,Argentina vs Canada,Argentina,4,2220,acca689d-d228-4058-9ab0-6a2c2f9dcb95,Carry,Rodrigo Javier De Paul,,,47,59,47:59,81.9,71.9,83.9,72.1,,,False,False,False,False,Copa America - 2024,223|282|ALL
3939969_1,3939969_1,3939969,Argentina vs Canada,Argentina,5,2221,c95a20bd-0bd7-47a5-b195-bdbafb540b1e,Pass,Rodrigo Javier De Paul,Lionel Andrés Messi Cuccittini,Lionel Andrés Messi Cuccittini,47,59,47:59,83.9,72.1,85.7,62.1,Complete,Complete,True,False,False,False,Copa America - 2024,223|282|ALL
3939969_1,3939969_1,3939969,Argentina vs Canada,Argentina,6,2223,61639e4d-2800-47e3-b253-553a80e7d588,Carry,Lionel Andrés Messi Cuccittini,,,48,0,48:00,85.7,62.1,87.9,56.6,,,False,False,False,False,Copa America - 2024,223|282|ALL
3939969_1,3939969_1,3939969,Argentina vs Canada,Argentina,7,2224,b8bea4dd-bc70-4aa4-827e-4cbac99d4f3f,Pass,Lionel Andrés Messi Cuccittini,Alexis Mac Allister,Alexis Mac Allister,48,1,48:01,87.9,56.6,109.3,45.6,Complete,Complete,True,False,False,False,Copa America - 2024,223|282|ALL
3939969_1,3939969_1,3939969,Argentina vs Canada,Argentina,8,2228,607ad909-e99b-4f6a-bfe0-ed522a958d12,Pass,Alexis Mac Allister,Julián Álvarez,Julián Álvarez,48,3,48:03,109.4,45.6,115.7,50.0,Complete,Complete,True,False,False,False,Copa America - 2024,223|282|ALL
3939969_1,3939969_1,3939969,Argentina vs Canada,Argentina,9,2230,1906b9d3-ef16-4a26-958c-fa11e852b237,Shot,Julián Álvarez,,,48,4,48:04,115.7,50.0,120.0,40.0,,Goal,False,True,False,True,Copa America - 2024,223|282|ALL
3939969_2,3939969_2,3939969,Argentina vs Canada,Argentina,1,3424,7cf57325-9fb1-4109-a621-1307e20f4d8e,Pass,Nahuel Molina Lucero,Damián Emiliano Martínez,Damián Emiliano Martínez,86,20,86:20,33.0,54.7,12.4,46.4,Complete,Complete,True,False,False,False,Copa America - 2024,223|282|ALL
3939969_2,3939969_2,3939969,Argentina vs Canada,Argentina,2,3426,a14e57a9-75f8-44cf-b098-24fe1f6fac43,Carry,Damián Emiliano Martínez,,,86,23,86:23,12.4,46.4,20.1,54.2,,,False,False,False,False,Copa America - 2024,223|282|ALL
