build_up_id,goal_id,goal_event_id,goal_label,match_id,match_name,team,opponent,scorer,minute,second,period,possession,passes_before_goal,attack_duration_seconds,build_up_type,shot_xg,tournament_stage,tournament_progress_score,finishing_efficiency,match_stage,play_pattern,start_x,start_y,goal_x,goal_y,shot_x,shot_y,competition_label,competition_value
3939969_1,3939969_1,1906b9d3-ef16-4a26-958c-fa11e852b237,Argentina - Julián Álvarez (48') vs Canada,3939969,Argentina vs Canada,Argentina,Canada,Julián Álvarez,48,4,2,83,6,8.939000000000021,Medium build-up,0.28057104,Group Stage,0,,Group Stage,From Throw In,85.6,80.0,115.7,50.0,115.7,50.0,Copa America - 2024,223|282|ALL
3939969_2,3939969_2,9647ba4a-9ce0-4367-af38-8461ea45b603,Argentina - Lautaro Javier Martínez (87') vs Canada,3939969,Argentina vs Canada,Argentina,Canada,Lautaro Javier Martínez,87,23,2,155,16,62.960000000000036,Long build-up,0.41493064,Group Stage,0,,Group Stage,Regular Play,33.0,54.7,107.0,44.9,107.0,44.9,Copa America - 2024,223|282|ALL
3939972_1,3939972_1,b056c5e5-e566-4dcf-973a-28662d06bd7a,Ecuador - Jeremy Leonel Sarmiento Morante (39') vs Venezuela,3939972,Ecuador vs Venezuela,Ecuador,Venezuela,Jeremy Leonel Sarmiento Morante,39,8,1,67,0,0.0,Quick attack,0.08814787,Group Stage,0,,Group Stage,From Free Kick,104.2,39.3,104.2,39.3,104.2,39.3,Copa America - 2024,223|282|ALL
3939972_2,3939972_2,5ba50afb-e46e-48dd-bb84-0775f7a2aede,Venezuela - Jhonder Leonel Cádiz Fernández (63') vs Ecuador,3939972,Ecuador vs Venezuela,Venezuela,Ecuador,Jhonder Leonel Cádiz Fernández,63,48,2,113,2,3.52599999999984,Quick attack,0.05229406,Group Stage,0,,Group Stage,From Throw In,96.6,80.0,103.3,50.0,103.3,50.0,Copa America - 2024,223|282|ALL
3939972_3,3939972_3,7fd3ca93-99b8-4262-81fc-56ca82e9f866,Venezuela - Eduard Alexander Bello Gil (73') vs Ecuador,3939972,Ecuador vs Venezuela,Venezuela,Ecuador,Eduard Alexander Bello Gil,73,36,2,131,15,55.94600000000014,Long build-up,0.22401401,Group Stage,0,,Group Stage,From Goal Kick,4.9,43.4,117.4,46.2,117.4,46.2,Copa America - 2024,223|282|ALL
3939971_1,3939971_1,6730228b-072d-476c-b7a5-9c6a3372a88f,Mexico - Gerardo Daniel Arteaga Zamora (68') vs Jamaica,3939971,Mexico vs Jamaica,Mexico,Jamaica,Gerardo Daniel Arteaga Zamora,68,30,2,138,2,10.573000000000093,Quick attack,0.07661064,Group Stage,0,,Group Stage,Regular Play,81.3,59.1,101.7,34.0,101.7,34.0,Copa America - 2024,223|282|ALL
3939974_1,3939974_1,32746db2-f800-4876-a655-07717fea4d42,United States - Christian Pulisic (2') vs Bolivia,3939974,United States vs Bolivia,United States,Bolivia,Christian Pulisic,2,26,1,7,2,4.326999999999998,Quick attack,0.026685437,Group Stage,0,,Group Stage,From Corner,120.0,0.1,102.7,23.1,102.7,23.1,Copa America - 2024,223|282|ALL
3939974_2,3939974_2,ab61d568-52c4-417d-9468-417bd50e4814,United States - Folarin Balogun (43') vs Bolivia,3939974,United States vs Bolivia,United States,Bolivia,Folarin Balogun,43,6,1,86,4,9.753000000000156,Medium build-up,0.071048014,Group Stage,0,,Group Stage,Regular Play,49.9,71.0,103.5,28.9,103.5,28.9,Copa America - 2024,223|282|ALL
3939975_1,3939975_1,3f08ec25-abde-4b7e-87b7-f799b150cea2,Colombia - Daniel Muñoz Mejía (31') vs Paraguay,3939975,Colombia vs Paraguay,Colombia,Paraguay,Daniel Muñoz Mejía,31,55,1,54,9,36.66000000000008,Long build-up,0.07853244,Group Stage,0,,Group Stage,From Throw In,65.7,0.1,112.4,46.8,112.4,46.8,Copa America - 2024,223|282|ALL
3939975_2,3939975_2,0764dfe4-0311-42be-a3bd-d079ad704bee,Colombia - Jefferson Andrés Lerma Solís (41') vs Paraguay,3939975,Colombia vs Paraguay,Colombia,Paraguay,Jefferson Andrés Lerma Solís,41,25,1,67,1,1.2800000000002,Quick attack,0.0654376,Group Stage,0,,Group Stage,From Free Kick,98.2,75.5,110.8,45.0,110.8,45.0,Copa America - 2024,223|282|ALL
