team,goals,goals_analysed,avg_passes_before_goal,avg_attack_duration,total_xg,shots,finishing_efficiency,tournament_stage,tournament_progress_score,competition_label,competition_value
Argentina,9,9,6.222222222222222,20.039444444444488,3.42011941,,,,0,Copa America - 2024,223|282|ALL
Bolivia,1,1,30.0,106.53199999999993,0.4246128,,,,0,Copa America - 2024,223|282|ALL
Brazil,4,4,8.5,33.63675000000006,1.247961657,,,,0,Copa America - 2024,223|282|ALL
Canada,4,4,1.5,8.298750000000041,0.88213976,,,,0,Copa America - 2024,223|282|ALL
Colombia,9,9,3.111111111111111,9.210666666666718,1.4623373179999999,,,,0,Copa America - 2024,223|282|ALL
Costa Rica,2,2,4.5,16.639499999999984,0.27205455,,,,0,Copa America - 2024,223|282|ALL
Ecuador,3,3,1.3333333333333333,7.248666666666698,0.587979592,,,,0,Copa America - 2024,223|282|ALL
Jamaica,1,1,1.0,4.151999999999987,0.43775764,,,,0,Copa America - 2024,223|282|ALL
Mexico,1,1,2.0,10.573000000000093,0.07661064,,,,0,Copa America - 2024,223|282|ALL
Panama,6,6,6.666666666666667,28.182999999999993,0.787833817,,,,0,Copa America - 2024,223|282|ALL
Paraguay,3,3,7.333333333333333,23.70933333333336,0.262537706,,,,0,Copa America - 2024,223|282|ALL
United States,3,3,4.0,11.19300000000006,0.14476200100000003,,,,0,Copa America - 2024,223|282|ALL
Uruguay,11,11,2.909090909090909,9.345727272727334,2.723537823,,,,0,Copa America - 2024,223|282|ALL
Venezuela,6,6,7.166666666666667,23.48150000000001,1.270334984,,,,0,Copa America - 2024,223|282|ALL
Argentina,11,11,7.454545454545454,22.59099999999997,2.545940341,,,,0,FIFA World Cup - 2022,43|106|ALL
Australia,3,3,6.0,19.28600000000002,0.34960415,,,,0,FIFA World Cup - 2022,43|106|ALL
Belgium,1,1,24.0,91.0329999999999,0.24992359,,,,0,FIFA World Cup - 2022,43|106|ALL
Brazil,7,7,9.428571428571429,32.11271428571431,1.934895506,,,,0,FIFA World Cup - 2022,43|106|ALL
Cameroon,4,4,2.75,11.095499999999959,1.70261727,,,,0,FIFA World Cup - 2022,43|106|ALL
Canada,1,1,11.0,45.391999999999996,0.08130363,,,,0,FIFA World Cup - 2022,43|106|ALL
Costa Rica,2,2,2.0,6.591000000000008,0.600119075,,,,0,FIFA World Cup - 2022,43|106|ALL
Croatia,8,8,8.0,26.45325000000011,1.346000455,,,,0,FIFA World Cup - 2022,43|106|ALL
Denmark,1,1,1.0,1.9930000000001655,0.25384808,,,,0,FIFA World Cup - 2022,43|106|ALL
Ecuador,3,3,1.6666666666666667,6.961666666666645,1.4691085799999999,,,,0,FIFA World Cup - 2022,43|106|ALL
England,12,12,7.833333333333333,24.738000000000003,2.597319652,,,,0,FIFA World Cup - 2022,43|106|ALL
France,14,14,8.357142857142858,28.507571428571428,3.3699695480000003,,,,0,FIFA World Cup - 2022,43|106|ALL
Germany,5,5,9.6,37.061400000000006,1.5491972999999999,,,,0,FIFA World Cup - 2022,43|106|ALL
Ghana,5,5,9.4,30.58320000000008,1.39981334,,,,0,FIFA World Cup - 2022,43|106|ALL
Iran,3,3,4.333333333333333,23.569000000000035,0.297720695,,,,0,FIFA World Cup - 2022,43|106|ALL
Japan,5,5,4.6,15.504600000000085,1.863579982,,,,0,FIFA World Cup - 2022,43|106|ALL
Mexico,2,2,1.0,0.9114999999999966,0.312389641,,,,0,FIFA World Cup - 2022,43|106|ALL
Morocco,6,6,4.5,15.496000000000015,1.492683154,,,,0,FIFA World Cup - 2022,43|106|ALL
Netherlands,10,10,7.9,27.87999999999995,2.4371892219999998,,,,0,FIFA World Cup - 2022,43|106|ALL
Poland,2,2,2.5,7.795000000000073,0.7132092,,,,0,FIFA World Cup - 2022,43|106|ALL
Portugal,10,10,6.1,20.2836,2.2430345026,,,,0,FIFA World Cup - 2022,43|106|ALL
Qatar,1,1,6.0,30.307000000000016,0.072239615,,,,0,FIFA World Cup - 2022,43|106|ALL
Saudi Arabia,3,3,5.0,22.09466666666658,0.6291443250000001,,,,0,FIFA World Cup - 2022,43|106|ALL
Senegal,4,4,3.75,13.739499999999914,0.619401546,,,,0,FIFA World Cup - 2022,43|106|ALL
Serbia,5,5,2.0,7.728400000000102,1.258054898,,,,0,FIFA World Cup - 2022,43|106|ALL
South Korea,5,5,3.0,13.154600000000006,1.4665541979999999,,,,0,FIFA World Cup - 2022,43|106|ALL
Spain,8,8,20.5,65.38812500000006,1.889476377,,,,0,FIFA World Cup - 2022,43|106|ALL
Switzerland,5,5,6.4,20.35080000000004,2.17125008,,,,0,FIFA World Cup - 2022,43|106|ALL
Tunisia,1,1,2.0,7.461999999999989,0.15620883,,,,0,FIFA World Cup - 2022,43|106|ALL
United States,3,3,7.0,16.623333333333374,1.0950657499999998,,,,0,FIFA World Cup - 2022,43|106|ALL
Uruguay,2,2,7.5,20.760000000000105,0.87843627,,,,0,FIFA World Cup - 2022,43|106|ALL
Argentina,6,6,6.166666666666667,24.369000000000046,0.868076925,,,,0,FIFA World Cup - 2018,43|3|ALL
Belgium,14,14,6.071428571428571,21.753357142857148,3.902831219,,,,0,FIFA World Cup - 2018,43|3|ALL
Brazil,8,8,3.75,14.396874999999902,3.832351933,,,,0,FIFA World Cup - 2018,43|3|ALL
Colombia,6,6,1.8333333333333333,4.87783333333338,1.2852577,,,,0,FIFA World Cup - 2018,43|3|ALL
Costa Rica,1,1,1.0,1.67999999999995,0.13123357,,,,0,FIFA World Cup - 2018,43|3|ALL
Croatia,12,12,4.0,13.675666666666695,2.8839566640000003,,,,0,FIFA World Cup - 2018,43|3|ALL
Denmark,3,3,4.0,10.231333333333316,0.5125040000000001,,,,0,FIFA World Cup - 2018,43|3|ALL
Egypt,1,1,1.0,5.267000000000053,0.10416558,,,,0,FIFA World Cup - 2018,43|3|ALL
England,9,9,6.555555555555555,18.45033333333334,1.803065053,,,,0,FIFA World Cup - 2018,43|3|ALL
France,9,9,5.666666666666667,19.324555555555605,1.643417404,,,,0,FIFA World Cup - 2018,43|3|ALL
Germany,2,2,3.0,6.993499999999997,0.17696176200000002,,,,0,FIFA World Cup - 2018,43|3|ALL
Iceland,1,1,7.0,24.920000000000073,0.28817946,,,,0,FIFA World Cup - 2018,43|3|ALL
Japan,5,5,6.4,24.530800000000045,0.813133606,,,,0,FIFA World Cup - 2018,43|3|ALL
Mexico,2,2,3.0,10.49350000000004,0.44770316,,,,0,FIFA World Cup - 2018,43|3|ALL
Morocco,2,2,0.5,3.359999999999957,0.49626284600000004,,,,0,FIFA World Cup - 2018,43|3|ALL
Nigeria,2,2,2.0,10.233500000000063,0.66911953,,,,0,FIFA World Cup - 2018,43|3|ALL
Panama,1,1,1.0,1.5199999999999818,0.17428838,,,,0,FIFA World Cup - 2018,43|3|ALL
Peru,2,2,6.5,25.953500000000005,0.19426517999999998,,,,0,FIFA World Cup - 2018,43|3|ALL
Poland,2,2,1.0,1.7399999999999523,0.57366721,,,,0,FIFA World Cup - 2018,43|3|ALL
Portugal,5,5,5.0,17.6719999999999,0.531632705,,,,0,FIFA World Cup - 2018,43|3|ALL
Russia,9,9,3.111111111111111,8.429777777777796,1.451828685,,,,0,FIFA World Cup - 2018,43|3|ALL
Saudi Arabia,1,1,30.0,78.75999999999976,0.021029433,,,,0,FIFA World Cup - 2018,43|3|ALL
Senegal,3,3,4.0,18.190999999999992,1.640398424,,,,0,FIFA World Cup - 2018,43|3|ALL
Serbia,2,2,0.5,2.493499999999983,0.307506326,,,,0,FIFA World Cup - 2018,43|3|ALL
South Korea,3,3,2.0,9.138000000000071,1.4184423800000001,,,,0,FIFA World Cup - 2018,43|3|ALL
Spain,6,6,4.833333333333333,13.411833333333286,1.968863785,,,,0,FIFA World Cup - 2018,43|3|ALL
Sweden,3,3,5.333333333333333,17.213333333333328,0.4343328,,,,0,FIFA World Cup - 2018,43|3|ALL
Switzerland,5,5,4.0,12.503999999999985,1.0662858599999998,,,,0,FIFA World Cup - 2018,43|3|ALL
Tunisia,4,4,10.75,30.646749999999983,1.75509438,,,,0,FIFA World Cup - 2018,43|3|ALL
Uruguay,6,6,2.1666666666666665,10.179999999999987,1.5663876079999999,,,,0,FIFA World Cup - 2018,43|3|ALL
Albania,3,3,7.666666666666667,27.716666666666665,0.35337633999999996,,,,0,UEFA Euro - 2024,55|282|ALL
Austria,5,5,3.8,14.785599999999954,1.158495,,,,0,UEFA Euro - 2024,55|282|ALL
Belgium,2,2,1.5,5.604999999999997,0.233486636,,,,0,UEFA Euro - 2024,55|282|ALL
Croatia,2,2,5.5,26.17700000000002,0.66494811,,,,0,UEFA Euro - 2024,55|282|ALL
Czech Republic,3,3,2.3333333333333335,10.628000000000043,0.874718104,,,,0,UEFA Euro - 2024,55|282|ALL
Denmark,2,2,1.5,2.5400000000000773,0.296033047,,,,0,UEFA Euro - 2024,55|282|ALL
England,7,7,9.857142857142858,33.91185714285708,1.44501942,,,,0,UEFA Euro - 2024,55|282|ALL
France,1,1,4.0,17.858000000000004,0.27131972,,,,0,UEFA Euro - 2024,55|282|ALL
Georgia,2,2,19.0,57.72949999999993,0.33565122000000003,,,,0,UEFA Euro - 2024,55|282|ALL
Germany,9,9,16.88888888888889,50.32122222222214,1.261151573,,,,0,UEFA Euro - 2024,55|282|ALL
Hungary,2,2,7.5,27.34199999999987,0.8425921199999999,,,,0,UEFA Euro - 2024,55|282|ALL
Italy,3,3,5.333333333333333,13.416000000000054,0.33307758,,,,0,UEFA Euro - 2024,55|282|ALL
Netherlands,9,9,6.555555555555555,23.175111111111093,1.297795087,,,,0,UEFA Euro - 2024,55|282|ALL
Poland,2,2,2.0,7.668999999999983,0.53235311,,,,0,UEFA Euro - 2024,55|282|ALL
Portugal,3,3,6.666666666666667,27.932666666666666,1.75902749,,,,0,UEFA Euro - 2024,55|282|ALL
Romania,3,3,2.3333333333333335,8.31566666666663,0.949275567,,,,0,UEFA Euro - 2024,55|282|ALL
Scotland,1,1,4.0,12.892999999999915,0.06252074,,,,0,UEFA Euro - 2024,55|282|ALL
Serbia,1,1,1.0,1.5199999999999818,0.14172395,,,,0,UEFA Euro - 2024,55|282|ALL
Slovakia,4,4,7.25,23.28424999999997,0.84810148,,,,0,UEFA Euro - 2024,55|282|ALL
Slovenia,2,2,1.0,7.823000000000093,0.351105335,,,,0,UEFA Euro - 2024,55|282|ALL
Spain,14,14,5.357142857142857,19.97542857142858,2.455106015,,,,0,UEFA Euro - 2024,55|282|ALL
Switzerland,8,8,11.375,43.7220000000001,1.996412342,,,,0,UEFA Euro - 2024,55|282|ALL
Turkey,8,8,4.125,15.195000000000022,1.555539108,,,,0,UEFA Euro - 2024,55|282|ALL
Ukraine,2,2,10.5,36.30249999999995,0.62620124,,,,0,UEFA Euro - 2024,55|282|ALL
Austria,5,5,3.8,13.24940000000006,1.29100377,,,,0,UEFA Euro - 2020,55|43|ALL
Belgium,7,7,12.571428571428571,37.89099999999998,1.911841051,,,,0,UEFA Euro - 2020,55|43|ALL
Croatia,6,6,8.5,30.293166666666664,1.422374871,,,,0,UEFA Euro - 2020,55|43|ALL
Czech Republic,5,5,1.6,5.744400000000093,0.664313047,,,,0,UEFA Euro - 2020,55|43|ALL
Denmark,12,12,5.166666666666667,16.367583333333354,2.184573471,,,,0,UEFA Euro - 2020,55|43|ALL
England,10,10,8.6,27.3582,3.005614374,,,,0,UEFA Euro - 2020,55|43|ALL
Finland,1,1,11.0,27.336000000000013,0.2884817,,,,0,UEFA Euro - 2020,55|43|ALL
France,5,5,7.6,29.008400000000016,1.763899537,,,,0,UEFA Euro - 2020,55|43|ALL
Germany,4,4,13.25,40.242000000000075,2.05955955,,,,0,UEFA Euro - 2020,55|43|ALL
Hungary,3,3,5.666666666666667,18.5060000000002,0.84127355,,,,0,UEFA Euro - 2020,55|43|ALL
Italy,12,12,7.083333333333333,28.58191666666666,2.84176894,,,,0,UEFA Euro - 2020,55|43|ALL
Netherlands,7,7,9.0,31.13914285714291,2.60162975,,,,0,UEFA Euro - 2020,55|43|ALL
North Macedonia,2,2,3.0,17.234000000000037,1.12872707,,,,0,UEFA Euro - 2020,55|43|ALL
Poland,4,4,5.25,17.12450000000007,0.99139244,,,,0,UEFA Euro - 2020,55|43|ALL
Portugal,4,4,12.0,30.22449999999995,2.6128350449999997,,,,0,UEFA Euro - 2020,55|43|ALL
Russia,1,1,4.0,11.690999999999804,0.06374955,,,,0,UEFA Euro - 2020,55|43|ALL
Scotland,1,1,7.0,30.315000000000055,0.059476625,,,,0,UEFA Euro - 2020,55|43|ALL
Slovakia,1,1,2.0,2.8990000000001146,0.07746814,,,,0,UEFA Euro - 2020,55|43|ALL
Spain,10,10,9.3,30.863999999999997,3.3232359799999998,,,,0,UEFA Euro - 2020,55|43|ALL
Sweden,4,4,5.5,13.299500000000013,0.7009000519999999,,,,0,UEFA Euro - 2020,55|43|ALL
Switzerland,8,8,4.0,14.248874999999959,1.387498073,,,,0,UEFA Euro - 2020,55|43|ALL
Turkey,1,1,12.0,39.92500000000007,0.04944899,,,,0,UEFA Euro - 2020,55|43|ALL
Ukraine,6,6,8.333333333333334,26.55783333333331,1.1569390679999998,,,,0,UEFA Euro - 2020,55|43|ALL
Wales,3,3,3.3333333333333335,8.811333333333474,0.67549316,,,,0,UEFA Euro - 2020,55|43|ALL
Belgium Women's,4,4,2.5,10.048500000000033,0.92072742,,,,0,UEFA Women's Euro - 2025,53|315|ALL
Denmark Women's,3,3,2.3333333333333335,15.274000000000001,0.27180117,,,,0,UEFA Women's Euro - 2025,53|315|ALL
England Women's,15,15,6.666666666666667,23.41686666666666,4.360556092,,,,0,UEFA Women's Euro - 2025,53|315|ALL
France Women's,9,9,5.222222222222222,20.734666666666662,2.266252455,,,,0,UEFA Women's Euro - 2025,53|315|ALL
Germany Women's,5,5,7.0,28.660600000000024,0.879681644,,,,0,UEFA Women's Euro - 2025,53|315|ALL
Iceland Women's,2,2,1.5,8.825500000000005,0.89384827,,,,0,UEFA Women's Euro - 2025,53|315|ALL
Italy Women's,6,6,5.0,21.50766666666665,1.496898498,,,,0,UEFA Women's Euro - 2025,53|315|ALL
Netherlands Women's,4,4,13.75,59.50199999999993,0.340634549,,,,0,UEFA Women's Euro - 2025,53|315|ALL
Norway Women's,7,7,3.857142857142857,15.681285714285726,0.994887871,,,,0,UEFA Women's Euro - 2025,53|315|ALL
Poland Women's,3,3,6.0,30.56499999999998,0.55200669,,,,0,UEFA Women's Euro - 2025,53|315|ALL
Portugal Women's,2,2,4.0,17.0295000000001,0.32776818,,,,0,UEFA Women's Euro - 2025,53|315|ALL
Spain Women's,18,18,10.0,34.72377777777775,3.76525615,,,,0,UEFA Women's Euro - 2025,53|315|ALL
Sweden Women's,9,9,4.888888888888889,20.03433333333335,2.25086728,,,,0,UEFA Women's Euro - 2025,53|315|ALL
Switzerland Women's,4,4,5.5,18.402500000000032,0.845446197,,,,0,UEFA Women's Euro - 2025,53|315|ALL
WNT Finland,2,2,4.5,15.6964999999999,0.28983225,,,,0,UEFA Women's Euro - 2025,53|315|ALL
Wales W,2,2,6.0,22.549500000000023,0.9957585,,,,0,UEFA Women's Euro - 2025,53|315|ALL
Austria Women's,3,3,3.3333333333333335,11.092666666666673,0.796135825,,,,0,UEFA Women's Euro - 2022,53|106|ALL
Belgium Women's,2,2,9.0,25.640999999999934,0.36705195999999995,,,,0,UEFA Women's Euro - 2022,53|106|ALL
Denmark Women's,1,1,6.0,22.16099999999983,0.7527447,,,,0,UEFA Women's Euro - 2022,53|106|ALL
England Women's,20,20,8.3,32.90065000000003,5.6771338270000005,,,,0,UEFA Women's Euro - 2022,53|106|ALL
France Women's,8,8,6.125,23.34987499999998,2.698458619,,,,0,UEFA Women's Euro - 2022,53|106|ALL
Germany Women's,14,14,4.0,27.481428571428598,3.958095335,,,,0,UEFA Women's Euro - 2022,53|106|ALL
Iceland Women's,2,2,1.0,3.468999999999994,0.25414721,,,,0,UEFA Women's Euro - 2022,53|106|ALL
Italy Women's,2,2,8.0,31.25600000000003,0.31567289,,,,0,UEFA Women's Euro - 2022,53|106|ALL
Netherlands Women's,7,7,2.142857142857143,7.806000000000048,1.760979753,,,,0,UEFA Women's Euro - 2022,53|106|ALL
Northern Ireland W,1,1,1.0,1.924999999999983,0.2613665,,,,0,UEFA Women's Euro - 2022,53|106|ALL
Norway Women's,3,3,1.3333333333333333,2.7250000000000227,0.8460563860000001,,,,0,UEFA Women's Euro - 2022,53|106|ALL
Portugal Women's,3,3,2.0,4.016000000000051,0.70728477,,,,0,UEFA Women's Euro - 2022,53|106|ALL
Spain Women's,5,5,3.8,12.540800000000047,0.744183205,,,,0,UEFA Women's Euro - 2022,53|106|ALL
Sweden Women's,7,7,2.2857142857142856,7.532428571428552,1.79334482,,,,0,UEFA Women's Euro - 2022,53|106|ALL
Switzerland Women's,4,4,3.25,14.164499999999979,0.376842718,,,,0,UEFA Women's Euro - 2022,53|106|ALL
WNT Finland,1,1,1.0,4.871000000000002,0.17378725,,,,0,UEFA Women's Euro - 2022,53|106|ALL
Argentina Women's,2,2,6.0,32.61049999999989,0.105159924,,,,0,Women's World Cup - 2023,72|107|ALL
Australia Women's,8,8,3.125,15.894874999999999,2.287835046,,,,0,Women's World Cup - 2023,72|107|ALL
Brazil Women's,5,5,10.6,35.684999999999945,1.43034014,,,,0,Women's World Cup - 2023,72|107|ALL
Canada Women's,1,1,4.0,13.593999999999994,0.25186965,,,,0,Women's World Cup - 2023,72|107|ALL
Colombia Women's,5,5,1.8,8.7887999999999,0.534172804,,,,0,Women's World Cup - 2023,72|107|ALL
Costa Rica Women's,1,1,2.0,4.836999999999989,0.88035095,,,,0,Women's World Cup - 2023,72|107|ALL
Denmark Women's,2,2,2.5,7.44399999999996,0.116032902,,,,0,Women's World Cup - 2023,72|107|ALL
England Women's,12,12,5.416666666666667,19.340583333333292,2.845674725,,,,0,Women's World Cup - 2023,72|107|ALL
France Women's,10,10,5.8,21.21289999999997,1.746800075,,,,0,Women's World Cup - 2023,72|107|ALL
Germany Women's,5,5,3.8,14.781400000000005,1.10128976,,,,0,Women's World Cup - 2023,72|107|ALL
Italy Women's,2,2,3.0,10.772499999999809,0.60819946,,,,0,Women's World Cup - 2023,72|107|ALL
Jamaica Women's,1,1,1.0,1.7729999999999109,0.101747274,,,,0,Women's World Cup - 2023,72|107|ALL
Japan Women's,13,13,8.538461538461538,30.64146153846157,3.05410553,,,,0,Women's World Cup - 2023,72|107|ALL
Korea Republic Women's,1,1,5.0,24.218999999999994,0.4342162,,,,0,Women's World Cup - 2023,72|107|ALL
Morocco Women's,2,2,3.0,7.65900000000002,0.81413911,,,,0,Women's World Cup - 2023,72|107|ALL
Netherlands Women's,12,12,6.416666666666667,26.648833333333357,2.723164061,,,,0,Women's World Cup - 2023,72|107|ALL
New Zealand Women's,1,1,4.0,10.866,0.43960825,,,,0,Women's World Cup - 2023,72|107|ALL
Nigeria Women's,3,3,1.6666666666666667,8.13799999999992,0.8982303650000001,,,,0,Women's World Cup - 2023,72|107|ALL
Norway Women's,5,5,10.4,40.35919999999997,0.317265208,,,,0,Women's World Cup - 2023,72|107|ALL
Panama Women's,2,2,0.0,0.0,0.527028123,,,,0,Women's World Cup - 2023,72|107|ALL
Philippines Women's,1,1,1.0,3.40300000000002,0.16776325,,,,0,Women's World Cup - 2023,72|107|ALL
Portugal Women's,2,2,7.0,20.859500000000054,0.7987848,,,,0,Women's World Cup - 2023,72|107|ALL
Republic of Ireland Women's,1,1,0.0,0.0,0.00018,,,,0,Women's World Cup - 2023,72|107|ALL
South Africa Women's,5,5,4.6,21.860999999999954,2.35340186,,,,0,Women's World Cup - 2023,72|107|ALL
Spain Women's,16,16,5.5,20.09537500000002,4.005009146,,,,0,Women's World Cup - 2023,72|107|ALL
Sweden Women's,11,11,3.3636363636363638,11.920545454545406,3.77325709,,,,0,Women's World Cup - 2023,72|107|ALL
Switzerland Women's,1,1,16.0,71.17899999999986,0.62541085,,,,0,Women's World Cup - 2023,72|107|ALL
United States Women's,4,4,5.25,21.161750000000097,0.588831518,,,,0,Women's World Cup - 2023,72|107|ALL
Zambia W,2,2,2.0,10.242999999999967,0.47213773,,,,0,Women's World Cup - 2023,72|107|ALL
Argentina Women's,1,1,3.0,14.042999999999893,0.38680646,,,,0,Women's World Cup - 2019,72|30|ALL
Australia Women's,8,8,4.75,18.706249999999926,2.433987732,,,,0,Women's World Cup - 2019,72|30|ALL
Brazil Women's,5,5,3.8,13.225599999999991,0.94737548,,,,0,Women's World Cup - 2019,72|30|ALL
Cameroon W,3,3,4.0,19.231999999999896,1.2205088099999999,,,,0,Women's World Cup - 2019,72|30|ALL
Canada Women's,4,4,5.75,18.54200000000006,1.15559693,,,,0,Women's World Cup - 2019,72|30|ALL
Chile Women's,1,1,7.0,22.463999999999942,0.072833575,,,,0,Women's World Cup - 2019,72|30|ALL
China PR Women's,1,1,12.0,47.74000000000024,0.13267203,,,,0,Women's World Cup - 2019,72|30|ALL
England Women's,12,12,5.5,20.109250000000007,3.359108358,,,,0,Women's World Cup - 2019,72|30|ALL
France Women's,8,8,2.75,9.543374999999987,2.066880675,,,,0,Women's World Cup - 2019,72|30|ALL
Germany Women's,9,9,3.2222222222222223,13.145222222222186,2.738061752,,,,0,Women's World Cup - 2019,72|30|ALL
Italy Women's,8,8,3.25,18.555499999999917,2.248163023,,,,0,Women's World Cup - 2019,72|30|ALL
Jamaica Women's,1,1,1.0,8.323999999999984,0.376099,,,,0,Women's World Cup - 2019,72|30|ALL
Japan Women's,2,2,6.5,20.746499999999855,0.386545965,,,,0,Women's World Cup - 2019,72|30|ALL
Korea Republic Women's,1,1,10.0,30.715999999999894,0.46812326,,,,0,Women's World Cup - 2019,72|30|ALL
