build_up_id,match_id,match_name,team,event_order,event_type,player,recipient,minute,second,timestamp_label,x,y,end_x,end_y,pass_outcome,is_assist,is_goal
3857255_1,3857255,Japan vs Spain,Spain,1,Pass,Pau Francisco Torres,Rodrigo Hernández Cascante,9,14,09:14,27.6,23.0,39.8,59.2,Complete,False,False
3857255_1,3857255,Japan vs Spain,Spain,2,Pass,Rodrigo Hernández Cascante,Pablo Martín Páez Gavira,9,21,09:21,61.4,51.0,74.0,53.9,Complete,False,False
3857255_1,3857255,Japan vs Spain,Spain,3,Pass,Pablo Martín Páez Gavira,Rodrigo Hernández Cascante,9,22,09:22,74.0,53.9,61.6,51.4,Complete,False,False
3857255_1,3857255,Japan vs Spain,Spain,4,Pass,Rodrigo Hernández Cascante,César Azpilicueta Tanco,9,24,09:24,62.1,52.8,67.8,70.7,Complete,False,False
3857255_1,3857255,Japan vs Spain,Spain,5,Pass,César Azpilicueta Tanco,Rodrigo Hernández Cascante,9,26,09:26,65.9,69.7,42.9,52.8,Complete,False,False
3857255_1,3857255,Japan vs Spain,Spain,6,Pass,Rodrigo Hernández Cascante,Pau Francisco Torres,9,29,09:29,43.5,51.9,44.5,30.2,Complete,False,False
3857255_1,3857255,Japan vs Spain,Spain,7,Pass,Pau Francisco Torres,Rodrigo Hernández Cascante,9,36,09:36,63.7,26.7,56.6,43.0,Complete,False,False
3857255_1,3857255,Japan vs Spain,Spain,8,Pass,Rodrigo Hernández Cascante,Pau Francisco Torres,9,41,09:41,64.9,46.3,66.7,26.5,Complete,False,False
3857255_1,3857255,Japan vs Spain,Spain,9,Pass,Pau Francisco Torres,Alejandro Balde Martínez,9,45,09:45,69.6,20.2,72.9,10.8,Complete,False,False
3857255_1,3857255,Japan vs Spain,Spain,10,Pass,Alejandro Balde Martínez,Pau Francisco Torres,9,48,09:48,72.7,9.8,56.4,19.4,Complete,False,False
3857255_1,3857255,Japan vs Spain,Spain,11,Pass,Pau Francisco Torres,Rodrigo Hernández Cascante,9,52,09:52,57.7,25.2,55.5,44.6,Complete,False,False
3857255_1,3857255,Japan vs Spain,Spain,12,Pass,Rodrigo Hernández Cascante,César Azpilicueta Tanco,9,58,09:58,65.7,46.6,70.0,64.9,Complete,False,False
3857255_1,3857255,Japan vs Spain,Spain,13,Pass,César Azpilicueta Tanco,Nicholas Williams Arthuer,10,0,10:00,70.7,66.7,75.3,77.9,Complete,False,False
3857255_1,3857255,Japan vs Spain,Spain,14,Pass,Nicholas Williams Arthuer,Sergio Busquets i Burgos,10,3,10:03,75.1,71.8,67.1,54.6,Complete,False,False
3857255_1,3857255,Japan vs Spain,Spain,15,Pass,Sergio Busquets i Burgos,Pau Francisco Torres,10,5,10:05,67.4,53.4,65.3,35.5,Complete,False,False
3857255_1,3857255,Japan vs Spain,Spain,16,Pass,Pau Francisco Torres,Daniel Olmo Carvajal,10,8,10:08,69.0,27.1,85.3,4.1,Complete,False,False
3857255_1,3857255,Japan vs Spain,Spain,17,Pass,Daniel Olmo Carvajal,Alejandro Balde Martínez,10,11,10:11,83.0,3.5,71.4,9.6,Complete,False,False
3857255_1,3857255,Japan vs Spain,Spain,18,Pass,Alejandro Balde Martínez,Pau Francisco Torres,10,12,10:12,70.6,10.4,60.4,21.4,Complete,False,False
3857255_1,3857255,Japan vs Spain,Spain,19,Pass,Pau Francisco Torres,Rodrigo Hernández Cascante,10,15,10:15,62.1,24.3,64.1,46.9,Complete,False,False
3857255_1,3857255,Japan vs Spain,Spain,20,Pass,Rodrigo Hernández Cascante,Pablo Martín Páez Gavira,10,18,10:18,68.3,55.0,69.0,71.1,Complete,False,False
3857255_1,3857255,Japan vs Spain,Spain,21,Pass,Pablo Martín Páez Gavira,César Azpilicueta Tanco,10,20,10:20,69.0,71.1,79.1,77.9,Complete,False,False
3857255_1,3857255,Japan vs Spain,Spain,22,Pass,César Azpilicueta Tanco,Nicholas Williams Arthuer,10,22,10:22,79.1,77.9,81.3,73.0,Complete,False,False
3857255_1,3857255,Japan vs Spain,Spain,23,Pass,Nicholas Williams Arthuer,Pablo Martín Páez Gavira,10,26,10:26,70.2,77.5,61.6,76.4,Complete,False,False
3857255_1,3857255,Japan vs Spain,Spain,24,Pass,Pablo Martín Páez Gavira,Rodrigo Hernández Cascante,10,29,10:29,61.6,76.4,52.4,63.6,Complete,False,False
3857255_1,3857255,Japan vs Spain,Spain,25,Pass,Rodrigo Hernández Cascante,Pau Francisco Torres,10,30,10:30,52.4,61.0,61.6,36.5,Complete,False,False
3857255_1,3857255,Japan vs Spain,Spain,26,Pass,Pau Francisco Torres,Pablo Martín Páez Gavira,10,38,10:38,82.6,20.6,95.0,3.5,Complete,False,False
