build_up_id,match_id,match_date,match_label,team,goal_player,goal_minute,goal_second,period,possession,play_pattern,passes_before_goal,duration_seconds,start_x,start_y,goal_x,goal_y
3857256_1,3857256,2022-12-02,Serbia vs Switzerland,Switzerland,Xherdan Shaqiri,19,11,1,44,From Free Kick,5,18,29.7,74.2,107.5,50.6
3857256_2,3857256,2022-12-02,Serbia vs Switzerland,Serbia,Aleksandar Mitrović,25,56,1,68,Regular Play,2,7,57.3,13.5,108.3,38.6
3857256_3,3857256,2022-12-02,Serbia vs Switzerland,Serbia,Dušan Vlahović,34,28,1,82,From Counter,0,5,80.8,20.3,106.2,31.8
3857256_4,3857256,2022-12-02,Serbia vs Switzerland,Switzerland,Breel-Donald Embolo,43,41,1,99,Regular Play,5,19,6.4,53.0,114.4,36.9
3857256_5,3857256,2022-12-02,Serbia vs Switzerland,Switzerland,Remo Freuler,47,38,2,113,From Free Kick,9,34,49.4,25.9,107.2,41.2
3869151_1,3869151,2022-12-03,Argentina vs Australia,Argentina,Lionel Andrés Messi Cuccittini,34,35,1,52,From Free Kick,4,8,100.4,52.7,104.2,48.9
3869151_2,3869151,2022-12-03,Argentina vs Australia,Argentina,Julián Álvarez,56,41,2,89,Regular Play,0,13,115.4,22.8,110.4,50.3
3857257_1,3857257,2022-11-30,Australia vs Denmark,Australia,Mathew Leckie,59,56,2,126,From Counter,4,10,20.6,34.2,105.7,31.5
3857258_1,3857258,2022-11-24,Brazil vs Serbia,Brazil,Richarlison de Andrade,61,58,2,116,Regular Play,20,59,45.3,71.0,114.5,41.8
3857258_2,3857258,2022-11-24,Brazil vs Serbia,Brazil,Richarlison de Andrade,72,54,2,134,From Throw In,5,21,29.9,80.0,107.1,39.6
3857288_1,3857288,2022-11-26,Tunisia vs Australia,Australia,Mitchell Thomas Duke,22,50,1,47,From Throw In,8,27,45.6,80.0,110.1,32.5
3857267_1,3857267,2022-11-29,Ecuador vs Senegal,Senegal,Ismaïla Sarr,43,41,1,70,Other,0,0,108.0,40.0,108.0,40.0
3857267_2,3857267,2022-11-29,Ecuador vs Senegal,Ecuador,Moisés Isaac Caicedo Corozo,66,58,2,126,From Corner,1,2,120.0,80.0,117.2,35.6
3857267_3,3857267,2022-11-29,Ecuador vs Senegal,Senegal,Kalidou Koulibaly,69,30,2,128,From Free Kick,0,3,88.6,74.6,114.3,46.0
3869321_1,3869321,2022-12-09,Netherlands vs Argentina,Argentina,Nahuel Molina Lucero,34,4,1,57,From Throw In,11,43,64.9,80.0,109.1,42.4
3869321_2,3869321,2022-12-09,Netherlands vs Argentina,Argentina,Lionel Andrés Messi Cuccittini,72,39,2,126,Other,0,0,108.0,40.0,108.0,40.0
3869321_3,3869321,2022-12-09,Netherlands vs Argentina,Netherlands,Wout Weghorst,82,17,2,137,From Free Kick,7,34,72.9,60.9,108.7,46.4
3869321_4,3869321,2022-12-09,Netherlands vs Argentina,Netherlands,Wout Weghorst,100,32,2,166,From Free Kick,1,1,96.8,31.8,111.8,39.9
3869321_5,3869321,2022-12-09,Netherlands vs Argentina,Argentina,Lionel Andrés Messi Cuccittini,121,3,5,226,Other,0,0,108.1,40.1,108.1,40.1
3869321_6,3869321,2022-12-09,Netherlands vs Argentina,Argentina,Leandro Daniel Paredes,122,39,5,228,Other,0,0,108.1,40.1,108.1,40.1
3869321_7,3869321,2022-12-09,Netherlands vs Argentina,Netherlands,Teun Koopmeiners,123,31,5,229,Other,0,0,108.1,40.1,108.1,40.1
3869321_8,3869321,2022-12-09,Netherlands vs Argentina,Argentina,Gonzalo Ariel Montiel,124,15,5,230,Other,0,0,108.1,40.1,108.1,40.1
3869321_9,3869321,2022-12-09,Netherlands vs Argentina,Netherlands,Wout Weghorst,124,59,5,231,Other,0,0,108.1,40.1,108.1,40.1
3869321_10,3869321,2022-12-09,Netherlands vs Argentina,Netherlands,Luuk de Jong,126,40,5,233,Other,0,0,108.1,40.1,108.1,40.1
3869321_11,3869321,2022-12-09,Netherlands vs Argentina,Argentina,Lautaro Javier Martínez,127,42,5,234,Other,0,0,108.1,40.1,108.1,40.1
3869486_1,3869486,2022-12-10,Morocco vs Portugal,Morocco,Youssef En-Nesyri,41,36,1,76,From Free Kick,15,47,14.2,67.6,112.6,39.7
3869685_1,3869685,2022-12-18,Argentina vs France,Argentina,Lionel Andrés Messi Cuccittini,22,24,1,32,Other,0,0,108.0,40.0,108.0,40.0
3869685_2,3869685,2022-12-18,Argentina vs France,Argentina,Ángel Fabián Di María Hernández,35,22,1,52,From Counter,5,10,25.9,71.8,111.8,32.1
3869685_3,3869685,2022-12-18,Argentina vs France,France,Kylian Mbappé Lottin,79,24,2,163,Other,0,0,108.0,40.0,108.0,40.0
3869685_4,3869685,2022-12-18,Argentina vs France,France,Kylian Mbappé Lottin,80,59,2,165,From Throw In,9,46,56.5,80.0,104.8,30.1
3869685_5,3869685,2022-12-18,Argentina vs France,Argentina,Lionel Andrés Messi Cuccittini,107,58,4,228,Regular Play,5,12,43.2,46.2,116.6,43.0
3869685_6,3869685,2022-12-18,Argentina vs France,France,Kylian Mbappé Lottin,117,5,4,238,Other,0,0,108.0,40.0,108.0,40.0
3869685_7,3869685,2022-12-18,Argentina vs France,France,Kylian Mbappé Lottin,120,13,5,248,Other,0,0,108.1,40.1,108.1,40.1
3869685_8,3869685,2022-12-18,Argentina vs France,Argentina,Lionel Andrés Messi Cuccittini,121,2,5,249,Other,0,0,108.1,40.1,108.1,40.1
3869685_9,3869685,2022-12-18,Argentina vs France,Argentina,Paulo Bruno Exequiel Dybala,122,27,5,251,Other,0,0,108.1,40.1,108.1,40.1
3869685_10,3869685,2022-12-18,Argentina vs France,Argentina,Leandro Daniel Paredes,124,16,5,253,Other,0,0,108.1,40.1,108.1,40.1
3869685_11,3869685,2022-12-18,Argentina vs France,France,Randal Kolo Muani,125,9,5,254,Other,0,0,108.1,40.1,108.1,40.1
3869685_12,3869685,2022-12-18,Argentina vs France,Argentina,Gonzalo Ariel Montiel,125,57,5,255,Other,0,0,108.1,40.1,108.1,40.1
