build_up_id,match_id,match_name,match_date,team,opponent,scorer,minute,second,period,possession,passes_before_goal,attack_duration_seconds,build_up_type,shot_xg,tournament_stage,tournament_progress_score,finishing_efficiency,goal_event_id,match_stage,play_pattern,start_x,start_y,goal_x,goal_y,shot_x,shot_y
3857256_1,3857256,Serbia vs Switzerland,2022-12-02,Switzerland,Serbia,Xherdan Shaqiri,19,11,1,44,5,18,Medium build-up,0.06969889,Round of 16,2,0.1351351351351351,3857256_1,Group Stage,From Free Kick,29.7,74.2,107.5,50.6,107.5,50.6
3857256_2,3857256,Serbia vs Switzerland,2022-12-02,Serbia,Switzerland,Aleksandar Mitrović,25,56,1,68,2,7,Quick attack,0.06371751,Group Stage,1,0.15625,3857256_2,Group Stage,Regular Play,57.3,13.5,108.3,38.6,108.3,38.6
3857256_3,3857256,Serbia vs Switzerland,2022-12-02,Serbia,Switzerland,Dušan Vlahović,34,28,1,82,0,5,Quick attack,0.15928414,Group Stage,1,0.15625,3857256_3,Group Stage,From Counter,80.8,20.3,106.2,31.8,106.2,31.8
3857256_4,3857256,Serbia vs Switzerland,2022-12-02,Switzerland,Serbia,Breel-Donald Embolo,43,41,1,99,5,19,Medium build-up,0.72697556,Round of 16,2,0.1351351351351351,3857256_4,Group Stage,Regular Play,6.4,53.0,114.4,36.9,114.4,36.9
3857256_5,3857256,Serbia vs Switzerland,2022-12-02,Switzerland,Serbia,Remo Freuler,47,38,2,113,9,34,Long build-up,0.15381548,Round of 16,2,0.1351351351351351,3857256_5,Group Stage,From Free Kick,49.4,25.9,107.2,41.2,107.2,41.2
3869151_1,3869151,Argentina vs Australia,2022-12-03,Argentina,Australia,Lionel Andrés Messi Cuccittini,34,35,1,52,4,8,Medium build-up,0.06663833,Winner,7,0.209090909090909,3869151_1,Round of 16,From Free Kick,100.4,52.7,104.2,48.9,104.2,48.9
3869151_2,3869151,Argentina vs Australia,2022-12-03,Argentina,Australia,Julián Álvarez,56,41,2,89,0,13,Quick attack,0.28060678,Winner,7,0.209090909090909,3869151_2,Round of 16,Regular Play,115.4,22.8,110.4,50.3,110.4,50.3
3857257_1,3857257,Australia vs Denmark,2022-11-30,Australia,Denmark,Mathew Leckie,59,56,2,126,4,10,Medium build-up,0.11353828,Round of 16,2,0.1153846153846153,3857257_1,Group Stage,From Counter,20.6,34.2,105.7,31.5,105.7,31.5
3857258_1,3857258,Brazil vs Serbia,2022-11-24,Brazil,Serbia,Richarlison de Andrade,61,58,2,116,20,59,Long build-up,0.568145,Quarter Final,3,0.101010101010101,3857258_1,Group Stage,Regular Play,45.3,71.0,114.5,41.8,114.5,41.8
3857258_2,3857258,Brazil vs Serbia,2022-11-24,Brazil,Serbia,Richarlison de Andrade,72,54,2,134,5,21,Medium build-up,0.07569885,Quarter Final,3,0.101010101010101,3857258_2,Group Stage,From Throw In,29.9,80.0,107.1,39.6,107.1,39.6
3857288_1,3857288,Tunisia vs Australia,2022-11-26,Australia,Tunisia,Mitchell Thomas Duke,22,50,1,47,8,27,Long build-up,0.04459479,Round of 16,2,0.1153846153846153,3857288_1,Group Stage,From Throw In,45.6,80.0,110.1,32.5,110.1,32.5
3857267_1,3857267,Ecuador vs Senegal,2022-11-29,Senegal,Ecuador,Ismaïla Sarr,43,41,1,70,0,0,Quick attack,0.7835,Round of 16,2,0.1,3857267_1,Group Stage,Other,108.0,40.0,108.0,40.0,108.0,40.0
3857267_2,3857267,Ecuador vs Senegal,2022-11-29,Ecuador,Senegal,Moisés Isaac Caicedo Corozo,66,58,2,126,1,2,Quick attack,0.5894187,Group Stage,1,0.1333333333333333,3857267_2,Group Stage,From Corner,120.0,80.0,117.2,35.6,117.2,35.6
3857267_3,3857267,Ecuador vs Senegal,2022-11-29,Senegal,Ecuador,Kalidou Koulibaly,69,30,2,128,0,3,Quick attack,0.23427999,Round of 16,2,0.1,3857267_3,Group Stage,From Free Kick,88.6,74.6,114.3,46.0,114.3,46.0
3869321_1,3869321,Netherlands vs Argentina,2022-12-09,Argentina,Netherlands,Nahuel Molina Lucero,34,4,1,57,11,43,Long build-up,0.43442267,Winner,7,0.209090909090909,3869321_1,Quarter-finals,From Throw In,64.9,80.0,109.1,42.4,109.1,42.4
3869321_2,3869321,Netherlands vs Argentina,2022-12-09,Argentina,Netherlands,Lionel Andrés Messi Cuccittini,72,39,2,126,0,0,Quick attack,0.7835,Winner,7,0.209090909090909,3869321_2,Quarter-finals,Other,108.0,40.0,108.0,40.0,108.0,40.0
3869321_3,3869321,Netherlands vs Argentina,2022-12-09,Netherlands,Argentina,Wout Weghorst,82,17,2,137,7,34,Long build-up,0.047416847,Quarter Final,3,0.2708333333333333,3869321_3,Quarter-finals,From Free Kick,72.9,60.9,108.7,46.4,108.7,46.4
3869321_4,3869321,Netherlands vs Argentina,2022-12-09,Netherlands,Argentina,Wout Weghorst,100,32,2,166,1,1,Quick attack,0.21959315,Quarter Final,3,0.2708333333333333,3869321_4,Quarter-finals,From Free Kick,96.8,31.8,111.8,39.9,111.8,39.9
3869321_5,3869321,Netherlands vs Argentina,2022-12-09,Argentina,Netherlands,Lionel Andrés Messi Cuccittini,121,3,5,226,0,0,Quick attack,0.7835,Winner,7,0.209090909090909,3869321_5,Quarter-finals,Other,108.1,40.1,108.1,40.1,108.1,40.1
3869321_6,3869321,Netherlands vs Argentina,2022-12-09,Argentina,Netherlands,Leandro Daniel Paredes,122,39,5,228,0,0,Quick attack,0.7835,Winner,7,0.209090909090909,3869321_6,Quarter-finals,Other,108.1,40.1,108.1,40.1,108.1,40.1
3869321_7,3869321,Netherlands vs Argentina,2022-12-09,Netherlands,Argentina,Teun Koopmeiners,123,31,5,229,0,0,Quick attack,0.7835,Quarter Final,3,0.2708333333333333,3869321_7,Quarter-finals,Other,108.1,40.1,108.1,40.1,108.1,40.1
3869321_8,3869321,Netherlands vs Argentina,2022-12-09,Argentina,Netherlands,Gonzalo Ariel Montiel,124,15,5,230,0,0,Quick attack,0.7835,Winner,7,0.209090909090909,3869321_8,Quarter-finals,Other,108.1,40.1,108.1,40.1,108.1,40.1
3869321_9,3869321,Netherlands vs Argentina,2022-12-09,Netherlands,Argentina,Wout Weghorst,124,59,5,231,0,0,Quick attack,0.7835,Quarter Final,3,0.2708333333333333,3869321_9,Quarter-finals,Other,108.1,40.1,108.1,40.1,108.1,40.1
3869321_10,3869321,Netherlands vs Argentina,2022-12-09,Netherlands,Argentina,Luuk de Jong,126,40,5,233,0,0,Quick attack,0.7835,Quarter Final,3,0.2708333333333333,3869321_10,Quarter-finals,Other,108.1,40.1,108.1,40.1,108.1,40.1
3869321_11,3869321,Netherlands vs Argentina,2022-12-09,Argentina,Netherlands,Lautaro Javier Martínez,127,42,5,234,0,0,Quick attack,0.7835,Winner,7,0.209090909090909,3869321_11,Quarter-finals,Other,108.1,40.1,108.1,40.1,108.1,40.1
3869486_1,3869486,Morocco vs Portugal,2022-12-10,Morocco,Portugal,Youssef En-Nesyri,41,36,1,76,15,47,Long build-up,0.20030825,Semi Final,4,0.1363636363636363,3869486_1,Quarter-finals,From Free Kick,14.2,67.6,112.6,39.7,112.6,39.7
3869685_1,3869685,Argentina vs France,2022-12-18,Argentina,France,Lionel Andrés Messi Cuccittini,22,24,1,32,0,0,Quick attack,0.7835,Winner,7,0.209090909090909,3869685_1,Final,Other,108.0,40.0,108.0,40.0,108.0,40.0
3869685_2,3869685,Argentina vs France,2022-12-18,Argentina,France,Ángel Fabián Di María Hernández,35,22,1,52,5,10,Medium build-up,0.30340916,Winner,7,0.209090909090909,3869685_2,Final,From Counter,25.9,71.8,111.8,32.1,111.8,32.1
3869685_3,3869685,Argentina vs France,2022-12-18,France,Argentina,Kylian Mbappé Lottin,79,24,2,163,0,0,Quick attack,0.7835,Final,6,0.1698113207547169,3869685_3,Final,Other,108.0,40.0,108.0,40.0,108.0,40.0
3869685_4,3869685,Argentina vs France,2022-12-18,France,Argentina,Kylian Mbappé Lottin,80,59,2,165,9,46,Long build-up,0.1017027,Final,6,0.1698113207547169,3869685_4,Final,From Throw In,56.5,80.0,104.8,30.1,104.8,30.1
3869685_5,3869685,Argentina vs France,2022-12-18,Argentina,France,Lionel Andrés Messi Cuccittini,107,58,4,228,5,12,Medium build-up,0.48840353,Winner,7,0.209090909090909,3869685_5,Final,Regular Play,43.2,46.2,116.6,43.0,116.6,43.0
3869685_6,3869685,Argentina vs France,2022-12-18,France,Argentina,Kylian Mbappé Lottin,117,5,4,238,0,0,Quick attack,0.7835,Final,6,0.1698113207547169,3869685_6,Final,Other,108.0,40.0,108.0,40.0,108.0,40.0
3869685_7,3869685,Argentina vs France,2022-12-18,France,Argentina,Kylian Mbappé Lottin,120,13,5,248,0,0,Quick attack,0.7835,Final,6,0.1698113207547169,3869685_7,Final,Other,108.1,40.1,108.1,40.1,108.1,40.1
