team,matches,shots,goals,total_xg,xg_per_shot,avg_distance,conversion_rate,goals_minus_xg
Argentina,7,110,23,20.988,0.191,17.788,0.209,2.012
France,7,106,18,14.956,0.141,16.151,0.17,3.044
Brazil,5,99,10,13.637,0.138,17.925,0.101,-3.637
Croatia,7,87,15,13.17,0.151,18.669,0.172,1.83
Netherlands,5,48,13,8.911,0.186,15.967,0.271,4.089
England,5,63,13,8.736,0.139,16.425,0.206,4.264
Morocco,7,66,9,8.678,0.131,19.259,0.136,0.322
Germany,3,68,6,8.231,0.121,16.992,0.088,-2.231
Japan,4,48,6,7.384,0.154,17.114,0.125,-1.384
Portugal,5,66,12,7.313,0.111,19.632,0.182,4.687
Spain,4,51,9,7.105,0.139,18.996,0.176,1.895
Switzerland,4,37,5,6.091,0.165,16.543,0.135,-1.091
Poland,4,31,3,4.663,0.15,15.022,0.097,-1.663
Senegal,4,50,5,4.275,0.085,19.176,0.1,0.725
United States,4,46,3,3.939,0.086,17.68,0.065,-0.939
Canada,3,35,1,3.929,0.112,16.7,0.029,-2.929
Iran,3,33,4,3.83,0.116,20.432,0.121,0.17
Ecuador,3,30,4,3.807,0.127,17.881,0.133,0.193
Belgium,3,35,1,3.694,0.106,16.382,0.029,-2.694
South Korea,4,48,5,3.605,0.075,20.006,0.104,1.395
Ghana,3,25,5,3.353,0.134,18.862,0.2,1.647
Uruguay,3,33,2,3.271,0.099,20.176,0.061,-1.271
Saudi Arabia,3,30,3,3.202,0.107,18.943,0.1,-0.202
Denmark,3,35,1,3.192,0.091,17.94,0.029,-2.192
Serbia,3,32,5,3.09,0.097,17.355,0.156,1.91
Cameroon,3,28,4,3.067,0.11,18.427,0.143,0.933
Mexico,3,41,2,3.058,0.075,22.25,0.049,-1.058
Tunisia,3,32,1,2.41,0.075,19.145,0.031,-1.41
Wales,3,24,1,2.219,0.092,20.728,0.042,-1.219
Australia,4,26,3,1.578,0.061,19.597,0.115,1.422
Qatar,3,20,1,1.408,0.07,22.462,0.05,-0.408
Costa Rica,2,11,2,1.234,0.112,19.356,0.182,0.766
